,n_min,t_min,n_max,t_max,t_max / t_min ratio,n_max/n_min ratio,n ln(n) ratio,n^2 ratio,Behavior
SC,5600,30,100000,9333,311.10000000,17.85714286,23.82103396,318.87755102,n^2
SS,5550,30,100000,9331,311.03333333,18.01801802,24.06064122,324.64897330,n^2
SR,5600,30,155000,22472,749.06666667,27.67857143,38.32811097,766.10331633,n^2
IC,70000000,30,1000000000,439,14.63333333,14.28571429,16.38875995,204.08163265,n
IS,70000000,30,1000000000,431,14.36666667,14.28571429,16.38875995,204.08163265,n
IR,18000,30,1000000,89085,2969.50000000,55.55555556,78.33419198,3086.41975309,n^2
MC,1000000,29,1000000000,41269,1423.06896552,1000.00000000,1500.00000000,1000000.00000000,nln(n)
MS,1000000,29,1000000000,40365,1391.89655172,1000.00000000,1500.00000000,1000000.00000000,nln(n)
MR,600000,30,100000000,6630,221.00000000,166.66666667,230.75431493,27777.77777778,nln(n)
QC,13500,30,1000000,169905,5663.50000000,74.07407407,107.60497077,5486.96844993,n^2
QS,1200000,30,1000000000,28756,958.53333333,833.33333333,1233.71876844,694444.44444444,n
QR,460000,30,100000000,8372,279.06666667,217.39130435,307.11721858,47258.97920605,nln(n)
